,camptothecin (GDSC2:1003),vinblastine (GDSC2:1004),cisplatin (GDSC2:1005),cytarabine (GDSC2:1006),docetaxel (GDSC2:1007),gefitinib (GDSC2:1010),navitoclax (GDSC2:1011),vorinostat (GDSC2:1012),nilotinib (GDSC2:1013),olaparib (GDSC2:1017),axitinib (GDSC2:1021),AZD7762 (GDSC2:1022),afatinib (GDSC2:1032),PLX4720 (GDSC2:1036),KU-57788 (GDSC2:1038),doramapimod (GDSC2:1042),Wee1 Inhibitor (GDSC2:1046),nutlin-3 (GDSC2:1047),mirin (GDSC2:1048),PD-173074 (GDSC2:1049),ZM 447439 (GDSC2:1050),alisertib (GDSC2:1051),Ro-3306 (GDSC2:1052),MK-2206 (GDSC2:1053),palbociclib (GDSC2:1054),NVP-BEZ235 (GDSC2:1057),GDC-0941 (GDSC2:1058),AZD8055 (GDSC2:1059),PD-0325901 (GDSC2:1060),obatoclax (GDSC2:1068),5-fluorouracil (GDSC2:1073),dasatinib (GDSC2:1079),paclitaxel (GDSC2:1080),crizotinib (GDSC2:1083),WY-090217 (GDSC2:1084),sorafenib (GDSC2:1085),BI-2536 (GDSC2:1086),irinotecan (GDSC2:1088),oxaliplatin (GDSC2:1089),BMS-536924 (GDSC2:1091),PF-4708671 (GDSC2:1129),APR-246 (GDSC2:1131),erlotinib (GDSC2:1168),niraparib (GDSC2:1177),MK-1775 (GDSC2:1179),dinaciclib (GDSC2:1180),gemcitabine (GDSC2:1190),bortezomib (GDSC2:1191),GSK 269962A (GDSC2:1192),SB 505124 (GDSC2:1194),tamoxifen (GDSC2:1199),YK-4-279 (GDSC2:1239),FK-866 (GDSC2:1248),BMS-345541 (GDSC2:1249),AZ960 (GDSC2:1250),talazoparib (GDSC2:1259),trametinib (GDSC2:1372),dabrafenib (GDSC2:1373),temozolomide (GDSC2:1375),ruxolitinib (GDSC2:1507),linsitinib (GDSC2:1510),epirubicin (GDSC2:1511),pevonedistat (GDSC2:1529),AZD8931 (GDSC2:1549),uprosertib (GDSC2:1553),LCL161 (GDSC2:1557),lapatinib (GDSC2:1558),AUY922 (GDSC2:1559),alpelisib (GDSC2:1560),taselisib (GDSC2:1561),CS-1421 (GDSC2:1564),leflunomide (GDSC2:1578),entinostat (GDSC2:1593),OSI-027 (GDSC2:1594),LGK-974 (GDSC2:1598),VE-822 (GDSC2:1613),WZ4003 (GDSC2:1614),AZD5582 (GDSC2:1617),GSK2606414 (GDSC2:1618),PCI-34051 (GDSC2:1621),wnt-c59 (GDSC2:1622),I-BET-762 (GDSC2:1624),Apabetalone (GDSC2:1625),OTX015 (GDSC2:1626),ML323 (GDSC2:1629),GS-9973 (GDSC2:1630),PRT062607 (GDSC2:1631),AGI-6780 (GDSC2:1634),AZD4547 (GDSC2:1786),ibrutinib (GDSC2:1799),Oxyphenisatin acetate (GDSC2:1804),oxaliplatin (GDSC2:1806),carmustine (GDSC2:1807),topotecan (GDSC2:1808),teniposide (GDSC2:1809),mitoxantrone (GDSC2:1810),dactinomycin (GDSC2:1811),fludarabine (GDSC2:1813),nelarabine (GDSC2:1814),fulvestrant (GDSC2:1816),vincristine (GDSC2:1818),docetaxel (GDSC2:1819),Podophyllotoxin bromide (GDSC2:1825),Dihydrorotenone (GDSC2:1827),Elephantin (GDSC2:1835),Sinularin (GDSC2:1838),BI-97C1 (GDSC2:1849),OF-1 (GDSC2:1853),GTPL8020 (GDSC2:1855),BDP-00009066 (GDSC2:1866),buparlisib (GDSC2:1873),BVD-523 (GDSC2:1908),venetoclax (GDSC2:1909),ABT737 (GDSC2:1910),dactinomycin (GDSC2:1911),GSK2110183C (GDSC2:1912),AZD3759 (GDSC2:1915),AZD5363 (GDSC2:1916),AZD6738 (GDSC2:1917),AZD8186 (GDSC2:1918),osimertinib (GDSC2:1919),cediranib (GDSC2:1922),GDC 0068 (GDSC2:1924),GDC 0810 (GDSC2:1925),GNE317 (GDSC2:1926),I-BRD9 (GDSC2:1928),MST-312 (GDSC2:1930),MIRA-1 (GDSC2:1931),NVP-ADW742 (GDSC2:1932),P22077 (GDSC2:1933),savolitinib (GDSC2:1936),UMI-77 (GDSC2:1939),WIKI4 (GDSC2:1940),YM-155 (GDSC2:1941),MIM-1 (GDSC2:1996),WEHI-539 (GDSC2:1997),BPD-00008900 (GDSC2:1998),foretinib (GDSC2:2040),BIBR-1532 (GDSC2:2043),Pyridostatin (GDSC2:2044),AMG-319 (GDSC2:2045),SCH900776 (GDSC2:2046),BVD-523 (GDSC2:2047),vinorelbine (GDSC2:2048),VX-11e (GDSC2:2096),uprosertib (GDSC2:2106),AZ6102 (GDSC2:2109),GSK3203591 (GDSC2:2110),VE 821 (GDSC2:2111),AZD6482 (GDSC2:2169),AT13148 (GDSC2:2170),BMS-754807 (GDSC2:2171),JQ1-(+) (GDSC2:2172)
ACH-000001,,,,,,,2.150392662,3.24507481,,,,1.861445114,,,,,2.054516191,,,,,,,,,,,,,2.925382625,,,,,,2.842153846,,,,,,,,,-0.048538403,,,-7.158968688,,,,1.427591971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.52124851,,,,,,,,,,-5.402837827,-6.136640423,-2.834906002,,,,-2.072660721,,,3.28557051,1.917285181,,,,-7.120118588,,,,,,,3.022385055,,,2.37537308,,0.373391521,,,,,2.514634812,,,,,,3.320845372,,,,,,,,,,,,,,,
ACH-000002,-6.358658376,-8.691604514,1.535276793,,-8.122449291,,-0.823364325,0.174208025,,,,0.478994464,2.805242375,,,,1.48397799,,,,,,,,,,2.363805524,,,,,,-6.800812981,,,1.582602721,,0.933446761,2.860749541,1.086790245,,,,,0.663926749,-5.792805248,-4.509098906,-7.703781636,,,,0.620959891,,,-1.097233021,1.57603472,,,,,,-3.539984916,-1.717093283,,,,2.926771783,,,,,,1.141812526,,,,,2.740623778,,,,1.992155729,,-0.267506281,,,,,,,,,,-1.82776963,-2.007913295,-2.242695807,,2.338192399,,,-6.447380796,-7.610332155,-3.001452442,-5.213867163,4.144554117,,1.364155702,1.614542821,,2.084718553,0.517165885,1.992983656,-5.803126359,-3.633050312,-7.118068887,,,,,,,3.131428613,,,0.048573546,,-0.154554243,,1.53370383,2.403878236,,1.835159458,,,,,,0.136769914,,,,,,-6.600894036,,,,,,,,,
ACH-000004,-6.277263827,,,,,,,,,,,,,,,,,,6.308089752,,,,,,,,,,,,,,,,,,,2.202268858,3.304137801,,,4.775928786,,,,-4.910773131,,,,,,,,,-0.544436349,,,,,,,,,,,,,-4.757717336,,,,6.543424415,1.618520656,,,1.153519098,,,,,,2.814852022,,-0.042354262,,,,,,,,3.534119773,,-1.650955401,-1.558654901,-1.623311206,,1.718131532,,,-1.916328461,0.560338659,-1.863037509,,3.82866964,,-2.860031097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000006,-5.994797213,-8.96455104,2.304693402,,-8.278598933,,2.434381194,0.075340552,,,,,0.650842618,-0.655134296,,,0.027586384,,,,,,,,2.772041173,-4.185359554,0.598271697,,,,0.9151751,,-8.356564834,,,-5.359091065,,0.546049026,1.721162865,-1.353297454,,,,,-0.863343079,,,-7.516141434,,,,0.310155052,-8.747761817,,,1.287084944,,,,,,-1.846335692,-5.000600506,,,,3.220331905,-7.031884099,,-0.393817912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.493167705,-0.05779089,,,0.971502066,-7.667480462,-1.266553836,,1.697457278,0.68131494,,,0.918728415,0.941277552,,0.06695138,2.722104185,-0.918818981,,0.716346861,1.570972772,,2.038423687,,-6.45105408,,,3.165597336,,,,,0.531799002,,-6.161889175,2.616884532,,1.665864187,,,,,,
ACH-000007,,,,,,,,,,,,,,,,,,,6.079519047,,,,,2.542966387,,,,,-2.611590001,,,,,1.709540861,,,,,,,,4.765865966,,,-0.764898789,-4.954985786,-3.880973296,,,1.978181422,,,-5.186277178,2.440271611,,,-6.121250769,,,,,,,,,,,-5.370010983,,,0.763874228,,2.006530621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.482247514,,,3.139499887,,0.386607403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2087069,,,,,,,0.356946103,
ACH-000008,,-4.713042197,,,,,2.75165253,2.092644476,,,,0.555975719,2.321625059,,,,,,6.512128072,,,,,,,-4.777478017,2.514181008,,,0.265277314,,,,,,3.2666145,,,,,,4.799272044,,,0.587479953,-4.788678036,-6.376943873,-9.247734662,,,,,,,,,,,,,,-2.294991826,1.541753159,,,,3.243683708,,,3.311420693,,,2.15170217,,,,2.56275892,-5.707836754,,,,,,,,,,,,,,,,1.436216309,,,,,,,-3.52218433,,-1.142374612,,3.998002236,,-1.528638414,,,2.872726361,0.889736994,,,2.076764449,-8.582054818,,,,2.168813517,,,2.389894776,,,-1.050210273,,-1.515760246,,2.843484448,,,,,,,,,1.393417265,,,,,,-6.191256947,,2.690012858,1.759846126,,,,,,
ACH-000009,,,,,,,2.048248476,1.643605911,,,,,,,,,,,,,,,,,,,2.018464422,,,2.187153774,,,,,,3.179319011,,,,,,4.773970856,,,,-3.610299735,,-7.356985075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.343652662,,,1.897001167,-5.954525108,,,,2.661202566,1.806785203,,2.905865739,,,-1.766800503,,1.244537806,,,,,2.19006202,,-4.852534414,,,,2.885262587,,,,,,,,,,,,,,,
ACH-000012,,,,,,-3.277461662,2.731052339,2.416771162,,,,-0.510017871,-0.882968655,,,,,,6.202538512,,,,,,,,,,,,,-1.81713422,,,,,,,,2.532043148,,,-3.4931135,,1.302207206,-4.492014324,,-7.423885999,,,,,,,,,,,,,,,,,,,0.731544552,,,,,,0.374296275,,,,3.243130001,,,,,,,,,,,,,,,,,,,,,,,,-1.92191502,,,,,,-1.809043169,,,,,,,,-6.82622878,,,,,,-5.375657638,-0.01254404,,,1.425599126,,,,,,,,,-5.414040769,,,,1.555010312,,,,,,,2.865208654,,2.492455698,,,,,,
ACH-000015,,-7.238341993,,,-7.347638755,,2.054584714,1.343704508,,,,0.300214421,3.098027186,,,,2.228848983,,6.50401795,,,,,,,,,,,,,,,,,1.860813532,,,,,,,,,2.378599335,-5.191589999,,-6.827869144,,,,,-6.225033296,,,,,,,,,-1.460427694,0.633871729,,,,,,,,,,,,,,,2.731932236,,,,,,,,,,,,,,,,,1.285440979,,,,,,-5.629767727,-6.749778813,-1.430893077,,4.189733892,,-0.508011188,,,3.290956968,0.683687516,,,,-6.966864457,,,,,,,2.71788577,,,2.626496782,,0.240918968,,,,,2.762084963,,,,,,1.80250249,,,,,-0.945946459,-6.558422527,,,,,,,,,
ACH-000019,,,,,,,,1.909676891,3.102289995,,,,,,2.721610374,,,,,,,,,,,,,,,,,,,,,3.037757853,1.413577552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08568163,,,,,,,,,,,3.137549592,,,,,,,,,,,,,-1.829822003,,,,,,,,,,,,,-3.997142966,,,-0.307571952,,,2.754511797,2.038346738,,,,-3.90025253,,,,,,,,,,,,0.378765814,,,,,,,,,,,2.263340131,,,,,,,,,,,,,,,
